package;dataset;package_dataset_pairs;reference_type;doi;doi_url;source_url;doi_verified;doi_type;paper_or_book_title;authors;year;venue;publisher;model_or_equation_found_locally;model_keywords;detected_reference;local_raw_match;doc_path;verification_note;selection_score;selection_spatial_terms;selection_spatiotemporal_terms;selection_model_terms
agridat;connolly.potato;agridat::connolly.potato;doi;10.1111/j.1744-7348.1993.tb04099.x;https://doi.org/10.1111/j.1744-7348.1993.tb04099.x;;yes;journal-article;Inter‐plot competition in yield trials of potatoes <i>(Solanum tuberosum</i> L.) with single‐drill plots;"T CONNOLLY; I D CURRIE; J E BRADSHAW; J W McNICOL";1993;Annals of Applied Biology;Wiley;yield~col*row | yield~matur | yield~gen | row~col | yield ~ cov | lm(yield ~ 0 + gen + rep + cov, data=dat;lm;Source: Connolly, T and Currie, ID and Bradshaw, JE and McNicol, JW. (1993). Inter-plot competition in yield trials of potatoes _Solanum tuberosum L._ with single-drill plots. Annals of Applied Biology, 123, 367-377. || References: Chaves, S.F.S., Ferreira, F.M., Ferreira, G.C. et al. Incorporating spatial and genetic competition into breeding pipelines with the R package gencomp. Heredity (2025). https://doi.org/10.1038/s41437-024-00743-9 || Description: Potato yields in single-drill plots || Details: Connolly et el use this data to illustrate how yield can be affected by competition from neighboring plots. This data uses M1, M2, M3 for maturity, while Connolly et al use FE (first early), SE (second early) and M (maincrop). The trial was 20 sections, each of which was an independent row of 20 drills. The data here are four reps of single-drill plots from sections 1, 6, 11, and 16. The neighbor covariate for a plot is defined as the average of the plots to the left and right. For drills at the edge of the trial, the covariate was the average of the one neighboring plot yield and the section (i.e. rep) mean. It would be interesting to fit a model that uses differences in maturity between a plot and its neighbor as the actual covariate. https://doi.org/10.1111/j.1744-7348.1993.tb04099.x Used with permission of Iain Currie.;;wiki\datasets\r_package_docs\agridat\topics\connolly.potato.md;;4;spatial;;model
plm;SumHes;plm::SumHes;doi;10.2307/2937941;https://doi.org/10.2307/2937941;;yes;journal-article;The Penn World Table (Mark 5): An Expanded Set of International Comparisons, 1950-1988;"Robert Summers; Alan Heston";1991;The Quarterly Journal of Economics;Oxford University Press (OUP);;;Source: Online supplements to Hayashi (2000). || References: Hayashi F (2000). _Econometrics_. Princeton University Press. Summers R, Heston A (1991). “The Penn World Table (Mark 5): An Expanded Set of International Comparisons, 1950–1988.” _The Quarterly Journal of Economics_, *106*, 327-68. doi:10.2307/2937941 <https://doi.org/10.2307/2937941>. || Description: A panel of 125 observations from 1960 to 1985 || Details: _total number of observations_ : 3250 _observation_ : country _country_ : World;;wiki\datasets\r_package_docs\plm\topics\SumHes.md;;4;;panel;
agridat;crossa.wheat;agridat::crossa.wheat;doi;10.1007/bf00226108;https://doi.org/10.1007/bf00226108;;yes;journal-article;AMMI adjustment for statistical analysis of an international wheat yield trial;"J. Crossa; P. N. Fox; W. H. Pfeiffer; S. Rajaram; H. G. Gauch";1991;Theoretical and Applied Genetics;Springer Science and Business Media LLC;"yield~gen*loc | Jr, HG. (1991). AMMI adjustment for statistical analysis of an | # AMMI biplot. Fig 3 of Crossa et al. | m1 <- with(dat, AMMI(E=loc, G=gen, R=1, Y=yield)) | main=""crossa.wheat AMMI biplot"", | m2 <- gge(dat2, yield~gen*loc,";ammi;Source: Crossa, J and Fox, PN and Pfeiffer, WH and Rajaram, S and Gauch Jr, HG. (1991). AMMI adjustment for statistical analysis of an international wheat yield trial. Theoretical and Applied Genetics, 81, 27-37. https://doi.org/10.1007/BF00226108 || References: Jean-Louis Laffont, Kevin Wright and Mohamed Hanafi (2013). Genotype + Genotype x Block of Environments (GGB) Biplots. Crop Science, 53, 2332-2341. https://doi.org/10.2135/cropsci2013.03.0178 || Description: Wheat yields for 18 genotypes at 25 locations || Details: Grain yield from the 8th Elite Selection Wheat Yield Trial to evaluate 18 bread wheat genotypes at 25 locations in 15 countries. Cross et al. used this data to cluster loctions into 2 mega-environments and clustered genotypes into 3 wheat clusters. Locations Code Country Location Latitude (N) Elevation (m) AK Algeria El Khroub 36 640 AL Algeria Setif 36 1,023 BJ Bangladesh Joydebpur 24 8 CA Cyprus Athalassa 35 142 EG Egypt E1 Gemmeiza 31 8 ES Egypt Sakha 31 6 EB Egypt Beni-Suef 29 28 IL India Ludhiana 31 247 ID India Delhi 29 228 JM Jordan Madaba 36 785 KN Kenya Njoro 0 2,165 MG Mexico Guanajuato 21 1765 MS Mexico Sonora 27 38 MM Mexico Michoacfin 20 1517 NB Nepal Bhairahwa 27 105 PI Pakistan Islamabad 34 683 PA Pakistan Ayub 32 213 SR Saudi Arabia Riyadh 24 600 SG Sudan Gezira 14 411 SE Spain Encinar 38 20 SJ Spain Jerez 37 180 SC Spain Cordoba 38 110 SS Spain Sevilla 38 20 TB Tunisia Beja 37 150 TC Thailand Chiang Mai 18 820 Used with permission of Jose' Crossa.;;wiki\datasets\r_package_docs\agridat\topics\crossa.wheat.md;;4;latitude;;ammi
agridat;cullis.earlygen;agridat::cullis.earlygen;doi;10.2307/2348066;https://doi.org/10.2307/2348066;;yes;journal-article;A New Procedure for the Analysis of Early Generation Variety Trials;"Brian R. Cullis; Warwick J. Lill; John A. Fisher; Barbara J. Read; Alan C. Gleeson";1989;Applied Statistics;JSTOR;check ~ col*row | yield ~ col*row | weed ~ col*row | yield ~ as.character(weed | asreml(yield ~ weed, data=dat, random= ~gen, resid = ~ ar1(xf | yield~weed+pol(col;variogram;"Source: Brian R. Cullis, Warwick J. Lill, John A. Fisher, Barbara J. Read and Alan C. Gleeson (1989). A New Procedure for the Analysis of Early Generation Variety Trials. _Journal of the Royal Statistical Society. Series C (Applied Statistics)_, 38, 361-375. https://doi.org/10.2307/2348066 || References: Unreplicated early generation variety trial in Wheat. https://www.vsni.co.uk/software/asreml/htmlhelp/asreml/xwheat.htm || Description: Early generation variety trial in wheat || Details: The data are from a field experiment conducted at Tullibigeal, New South Wales, Australia in 1987-88. The aim of these trials is to identify and retain the top (10-20 percent) lines for further testing. Most genotypes are unreplicated, with some augmented genotypes. In each row, every 6th plot was variety 526 = 'Kite'. Six other varieties 527-532 were randomly placed in the trial, with 3 to 5 plots of each. Each plot was 15m x 1.8m, ""oriented with the longest side with rows"". The 'weed' variable is a visual score on a 0 to 10 scale, 0 = no weeds, 10 = 100 percent weeds. Cullis et al. (1989) presented an analysis of early generation variety trials that included a one-dimensional spatial analysis. Below, a two-dimensional spatial analysis is presented. Note: The 'row' and 'col' variables are as in the VSN link below (switched compared to the paper by Cullis et al.) Field width: 10 rows * 15 m = 150 m Field length: 67 plots * 1.8 m = 121 m The orientation is not certain, but the alternative orientation would have a field roughly 20m x 1000m, which seems unlikely.";;wiki\datasets\r_package_docs\agridat\topics\cullis.earlygen.md;;3;spatial;;
agridat;williams.barley.uniformity;agridat::williams.barley.uniformity | agridat::williams.cotton.uniformity;doi;10.1071/ar9880339;https://doi.org/10.1071/ar9880339;;yes;journal-article;The use of uniformity data in the design and analysis of cotton and barley variety trials;"ER Williams; DJ Luckett";1988;Australian Journal of Agricultural Research;CSIRO Publishing;yield ~ col*row | yield~col*row | fit~col*row | aov(yield ~ factor(row | desplot(dat, yield ~ col*row, | dat$fit <- fitted(loess(yield~col*row, dat, span=.1));anova;Source: Williams, ER and Luckett, DJ. 1988. The use of uniformity data in the design and analysis of cotton and barley variety trials. Australian Journal of Agricultural Research, 39, 339-350. https://doi.org/10.1071/AR9880339 || References: Maria Xose Rodriguez-Alvarez, Martin P. Boer, Fred A. van Eeuwijk, Paul H. C. Eilersd (2018). Correcting for spatial heterogeneity in plant breeding experiments with P-splines. Spatial Statistics, 23, 52-71. https://doi.org/10.1016/j.spasta.2017.10.003 || Description: Uniformity trial of barley at Narrabri, New South Wales, 1984. || Details: Grown at Roseworthy Agricultural College. Plots were 5 m long (4 m sown, 3.3 m harvested) by 0.75 m wide. A three-plot seeder was used, planting in a serpentine fashion. Williams noted that it appears that the middle plot of each pass has a lower yield, possibly due to soil compaction from the tractor. Field width: 48 plots * .75 m = 36 m Field length: 15 plots * 5 m = 75 m;;wiki\datasets\r_package_docs\agridat\topics\williams.barley.uniformity.md;;4;spatial;;anova
agridat;lin.unbalanced;agridat::lin.unbalanced;doi;10.4141/cjps88-130;https://doi.org/10.4141/cjps88-130;;yes;journal-article;A METHOD FOR ASSESSING REGIONAL TRIAL DATA WHEN THE TEST CULTIVARS ARE UNBALANCED WITH RESPECT TO LOCATIONS;"C. S. LIN; M. R. BINNS";1988;Canadian Journal of Plant Science;Canadian Science Publishing;"yield ~ loc | gen ~ loc | # aggregate(yield ~ loc, data=dat, FUN=max) | aggregate(yield ~ loc, data=dat2, FUN=mean) | dat3 <- acast(dat, gen ~ loc, value.var=""yield"")";;"Source: C. S. Lin, M. R. Binns (1988). A Method for Assessing Regional Trial Data When The Test Cultivars Are Unbalanced With Respect to Locations. _Canadian Journal of Plant Science_, 68(4): 1103-1110. https://doi.org/10.4141/cjps88-130 || References: None || Description: Multi-environment trial of 33 barley genotypes in 18 locations || Details: Yield of six-row barley from the 1986 Eastern Cooperative trial The named cultivars Bruce, Laurier, Leger are checks, while the other cultivars were tests. Cultivar names use the following codes: ""A"" is for Atlantic-Quebec. ""O"" is for ""Ontario"". ""S"" is second-year. ""T"" is third-year.";;wiki\datasets\r_package_docs\agridat\topics\lin.unbalanced.md;;3;regional;;
agridat;kenward.cattle;agridat::kenward.cattle;doi;10.2307/2347788;https://doi.org/10.2307/2347788;;yes;journal-article;A Method for Comparing Profiles of Repeated Measurements;Michael G. Kenward;1987;Applied Statistics;JSTOR;weight~day|trt | lmer(weight ~ trt*poly(day, 4 | lmer(weight ~ trt + poly(day, 4 | lmer(weight ~ poly(day, 4 | pred ~ day|trt | weight ~ trt + poly(day;anova, lmer;Source: Kenward, Michael G. (1987). A Method for Comparing Profiles of Repeated Measurements. _Applied Statistics_, 36, 296-308. Table 1. https://doi.org/10.2307/2347788 || References: W. Zhang, C. Leng and C. Y. Tang (2015). A joint modelling approach for longitudinal studies _J. R. Statist. Soc. B_, 77 (2015), 219-238. https://doi.org/10.1111/rssb.12065 || Description: Repeated measurements of the weights of calves from a trial on the control of intestinal parasites. || Details: Grazing cattle can ingest larvae, which deprives the host animal of nutrients and weakens the immune system, affecting the growth of the animal. Two treatments A and B were applied randomly to 60 animals (30 each in two groups) to control the disease. Each animal was weighed 11 times at two-week intervals (one week between the final two measurements). Is there a difference in treatments, and when does that difference first become manifest?;;wiki\datasets\r_package_docs\agridat\topics\kenward.cattle.md;;6;;longitudinal;anova, model
agridat;hutchinson.cotton.uniformity;agridat::hutchinson.cotton.uniformity;doi;10.2307/2981720;https://doi.org/10.2307/2981720;;yes;journal-article;Continuous Second Order Models of Spatial Variation with Application to the Efficiency of Field Crop Experiments;"A. C. Brewer; R. Mead";1986;Journal of the Royal Statistical Society. Series A (General);JSTOR;yield ~ col*row | desplot(dat, yield ~ col*row,;;"Source: Rothamsted Research Library, Box STATS17 WG Cochran, Folder 2. || References: A. C. Brewer and R. Mead (1986). Continuous Second Order Models of Spatial Variation with Application to the Efficiency of Field Crop Experiments. Journal of the Royal Statistical Society. Series A (General), 149(4), 314–348. See page 325. http://doi.org/10.2307/2981720 || Description: Uniformity trial of cotton harvested in 1941 || Details: The data are lint yield from single plants in a cotton uniformity trial in St. Vincent in 1940-41. The experiment was planted in 50 rows with 40 plants in each row. The spacing was 1.5 feet within rows and 4 feet between rows. Field length: 40 plants * 1.5 feet = 60 feet Field width: 50 columns * 4 feet = 200 feet This data was made available with special help from the staff at Rothamsted Research Library. Transcription details: Rothamsted library scanned the paper documents to pdf. K.Wright used the pdf to manually type the values into an Excel file and checked the hand-typed values. Plants marked as ""Dead"" on the PDF were left blank. There were 6 numbers that were illegible in the PDF. These were also left blank.";;wiki\datasets\r_package_docs\agridat\topics\hutchinson.cotton.uniformity.md;;4;spatial;;model
agridat;hanks.sprinkler;agridat::hanks.sprinkler;doi;10.2136/sssaj1980.03615995004400040048x;https://doi.org/10.2136/sssaj1980.03615995004400040048x;;yes;journal-article;Statistical Analysis of Results from Irrigation Experiments Using the Line‐Source Sprinkler System;"R. J. Hanks; D. V. Sisson; R. L. Hurst; K. G. Hubbard";1980;Soil Science Society of America Journal;Wiley;yield~subplot*row | yield~subplot|block | asreml(yield ~ gen + dir + irrf + gen:dir + gen:irrf + dir:irrf, data=dat, random= ~ block + block:dir + block:irrf, resid = ~ block:gen:corb(subf, 3 | Stroup, W. W. (1989). Use of Mixed Model Procedure to Analyze | desplot(dat, yield~subplot*row, | xyplot(yield~subplot|block, dat, type=c('b'), group=gen,;mixed model;Source: Hanks, R.J., Sisson, D.V., Hurst, R.L, and Hubbard K.G. (1980). Statistical Analysis of Results from Irrigation Experiments Using the Line-Source Sprinkler System. _Soil Science Society of America Journal_, 44, 886-888. https://doi.org/10.2136/sssaj1980.03615995004400040048x || References: Johnson, D. E., Chaudhuri, U. N., and Kanemasu, E. T. (1983). Statistical Analysis of Line-Source Sprinkler Irrigation Experiments and Other Nonrandomized Experiments Using Multivariate Methods. Soil Science Society American Journal, 47, 309-312. Stroup, W. W. (1989). Use of Mixed Model Procedure to Analyze Spatially Correlated Data: An Example Applied to a Line-Source Sprinkler Irrigation Experiment. Applications of Mixed Models in Agriculture and Related Disciplines, Southern Cooperative Series Bulletin No. 343, 104-122. SAS Stat User's Guide. https://support.sas.com/documentation/cdl/en/statug/63347/HTML/default/viewer.htm#statug_mixed_sect038.htm || Description: Three wheat varieties planted in 3 blocks, with a line sprinkler crossing all whole plots. || Details: A line-source sprinkler is placed through the middle of the experiment (between subplots 6 and 7). Subplots closest to the sprinkler receive the most irrigation. Subplots far from the sprinkler (near the edges) have the lowest yields. One data value was modified from the original (following the example of other authors).;;wiki\datasets\r_package_docs\agridat\topics\hanks.sprinkler.md;;5;spatial;;mixed, model
agridat;tai.potato;agridat::tai.potato;doi;10.2135/cropsci1971.0011183x001100020006x;https://doi.org/10.2135/cropsci1971.0011183x001100020006x;;yes;journal-article;Genotypic Stability Analysis and Its Application to Potato Regional Trials;George C. C. Tai;1971;Crop Science;Wiley;"variety ~ yield|env | dotplot(variety ~ yield|env, dat, main=""tai.potato"")";;Source: G.C.C. Tai, 1971. Genotypic stability analysis and its application to potato regional trials. Crop Sci 11, 184-190. Table 2, p. 187. https://doi.org/10.2135/cropsci1971.0011183X001100020006x || References: George Fernandez (1991). Analysis of Genotype x Environment Interaction by Stability Estimates. _Hort Science_, 26, 947-950. || Description: Multi-environment trial of potato tuber yields || Details: Mean tuber yield of 8 genotypes in 3 locations over two years. Katahdin and Sebago are check varieties. Each location was planted as a 4-rep RCB design. In Tai's plot of the stability parameters, F5751 and Sebago were in the average stability area. The highest yielding genotype F6032 had an unstable performance.;;wiki\datasets\r_package_docs\agridat\topics\tai.potato.md;;3;regional;;
agridat;mercer.wheat.uniformity;agridat::mercer.wheat.uniformity;doi;10.2307/3028105;https://doi.org/10.2307/3028105;;yes;journal-article;Fundamental Distribution of Errors for Agricultural Field Trials;G. A. Baker;1941;National Mathematics Magazine;JSTOR;"grain ~ col*row | straw ~ grain | desplot(dat, grain ~ col*row, | xyplot(straw ~ grain, data=dat, type=c('p','r'), | main=""mercer.wheat.uniformity - regression"") | hexbinplot(straw ~ grain, data=dat)";regression, variogram;Source: Mercer, WB and Hall, AD, (1911). The experimental error of field trials. The Journal of Agricultural Science, 4, 107-132. Table 5. https://doi.org/10.1017/S002185960000160X || References: Baker, G. A. (1941). Fundamental Distribution of Errors for Agricultural Field Trials. _National Mathematics Magazine_, 16, 7-19. https://doi.org/10.2307/3028105 Ehrenberg, P. (1915). Versuch eines Beweises für die Anwendbarkeit der Wahrscheinlichkeitsrechnung bei Feldversuchen. Die Landwwirthschaftlichen Versuchs-Stationen 87, 29-88. https://www.google.com/books/edition/Die_Landwirthschaftlichen_Versuchs_Stati/qFPbIBaHZKUC McCullagh, P. and Clifford, D., (2006). Evidence for conformal invariance of crop yields, Proceedings of the Royal Society A: Mathematical, Physical and Engineering Science, 462, 2119-2143. https://doi.org/10.1098/rspa.2006.1667 Roemer, Theodor (1920). Der Feldversuch. Page 65, table 6. https://www.google.com/books/edition/Arbeiten_der_Deutschen_Landwirtschafts_G/7zBSAQAAMAAJ The 'spdep' package includes the grain yields (only) and spatial positions of plot centres in its example dataset 'wheat'. Note, checked that all '4.03' values in this data match the original document. || Description: Uniformity trial of wheat at Rothamsted Experiment Station, England, 1910. || Details: The wheat crop was grown in the summer of 1910 at Rothamsted Experiment Station (Harpenden, Hertfordshire, England). In the Great Knott, a seemingly uniform area of 1 acre was harvested in separate plots, each 1/500th acre in size. The grain and straw from each plot was weighed separately. McCullagh gives more information about the plot size. Field width: 25 plots * 8 ft = 200 ft Field length: 20 plots * 10.82 ft = 216 ft D. G. Rossiter (2014) uses this data for an extensive data analysis tutorial.;;wiki\datasets\r_package_docs\agridat\topics\mercer.wheat.uniformity.md;;4;spatial;;regression
agridat;wallace.iowaland;agridat::wallace.iowaland;doi;10.2307/3138610;https://doi.org/10.2307/3138610;;yes;journal-article;Comparative Farm-Land Values in Iowa;Henry A. Wallace;1926;"The Journal of Land &amp; Public Utility Economics";JSTOR;"lm(fedval ~ yield + corn + grain + untillable, dat | polnm~fedval | https://www.stat.ufl.edu/~winner/data/iowaland.txt | splom(~dat[,-c(1:2)], type=c('p','smooth'), lwd=2, main=""wallace.iowaland"") | m1 <- lm(fedval ~ yield + corn + grain + untillable, dat) | mapplot(polnm~fedval , data=dat, colramp=redblue,";lm;Source: H.A. Wallace (1926). Comparative Farm-Land Values in Iowa. _The Journal of Land & Public Utility Economics_, 2, 385-392. Page 387-388. https://doi.org/10.2307/3138610 || References: Larry Winner. Spatial Data Analysis. https://www.stat.ufl.edu/~winner/data/iowaland.txt || Description: Iowa farmland values by county in 1925 || Details: None.;;wiki\datasets\r_package_docs\agridat\topics\wallace.iowaland.md;;3;spatial;;
